Mexico	South Africa
South Korea	Czechia
Canada	Bosnia-Herzegovina
United States	Paraguay
Qatar	Switzerland
Brazil	Morocco
Haiti	Scotland
Australia	Turkey
Germany	Curaçao
Netherlands	Japan
Ivory Coast	Ecuador
Sweden	Tunisia
Spain	Cape Verde Islands
Belgium	Egypt
Saudi Arabia	Uruguay
Iran	New Zealand
France	Senegal
Iraq	Norway
Argentina	Algeria
Austria	Jordan
Portugal	Congo DR
England	Croatia
Ghana	Panama
Uzbekistan	Colombia
Czechia	South Africa
Switzerland	Bosnia-Herzegovina
Canada	Qatar
Mexico	South Korea
United States	Australia
Scotland	Morocco
Brazil	Haiti
Turkey	Paraguay
Netherlands	Sweden
Germany	Ivory Coast
Ecuador	Curaçao
Tunisia	Japan
Spain	Saudi Arabia
Belgium	Iran
Uruguay	Cape Verde Islands
New Zealand	Egypt
Argentina	Austria
France	Iraq
Norway	Senegal
Jordan	Algeria
Portugal	Uzbekistan
England	Ghana
Panama	Croatia
Colombia	Congo DR
Switzerland	Canada
Bosnia-Herzegovina	Qatar
Morocco	Haiti
Scotland	Brazil
Czechia	Mexico
South Africa	South Korea
Ecuador	Germany
Curaçao	Ivory Coast
Tunisia	Netherlands
Japan	Sweden
Turkey	United States
Paraguay	Australia
Norway	France
Senegal	Iraq
Uruguay	Spain
Cape Verde Islands	Saudi Arabia
New Zealand	Belgium
Egypt	Iran
Panama	England
Croatia	Ghana
Colombia	Portugal
Congo DR	Uzbekistan
Jordan	Argentina
Algeria	Austria
